Marque,Modéle,Année-Modele,Kilométrage,Type de carburant,Puissance fiscale,Boite de vitesses,Nombre de portes,Origine,Premiére main,état,Airbags,Climatisation,ABS,ESP,CD/MP3/Bluetooth,Prix
mercedes-benz,220,2011,275000,diesel,8,automatique,5.0,dédouanée,non,trés bon,True,True,True,True,True,168000
volkswagen,golf 4,2002,27500,diesel,8,manuelle,5.0,dédouanée,non,non spécifié,False,False,False,False,False,75000
ford,c-max,2013,225000,diesel,6,manuelle,5.0,ww au maroc,oui,non spécifié,True,True,True,True,True,119999
dacia,logan,2015,135000,diesel,6,manuelle,5.0,ww au maroc,oui,bon,True,False,False,False,True,80000
hyundai,santa fe,2010,195000,diesel,8,automatique,5.0,ww au maroc,non,trés bon,True,True,True,True,True,96000
dacia,sandero,2014,135000,diesel,6,manuelle,5.0,ww au maroc,non,excellent,False,False,False,False,False,76000
ford,fiesta,2010,135000,essence,7,manuelle,5.0,ww au maroc,oui,excellent,True,True,True,True,True,75000
volkswagen,golf 5,2008,175000,diesel,8,manuelle,5.0,dédouanée,non,trés bon,False,True,True,True,True,77000
peugeot,3008,2018,87500,diesel,8,automatique,5.0,ww au maroc,non spécifié,excellent,True,True,True,True,True,234000
peugeot,508,2016,155000,diesel,8,manuelle,5.0,ww au maroc,non spécifié,excellent,True,True,True,True,True,125000
